plot_name	loading_order	probe	antiprobe	
ADI1_LowAbd_gene	WT,RRP6	ADI1	6			
GAPDH	WT,RRP6	TDH1	1			
ACT1	WT,RRP6	ACT1	1			
RPS7B	WT,RRP6	RPS7B	1			
snR4	WT,RRP6	snR4	1			
snR4_Triple	WT,RRP6,AIR1RRP6,AIR2RRP6,AIR1AIR2RRP6	snR4	1			
